State,district,arrival_date,Sold_Amount,esti.yeild,modal_price/Quintol
MH,Yavatmal,Jan,10562,1072,3530.753968
MH,Wardha,Jan,14262,826,3485.069565
MH,Vashim,Jan,39718,1163,3598.535354
MH,Nashik,Jan,1016,961,3633.792453
MH,Latur,Jan,46647,869,3618.863636
MH,Hingoli,Jan,4733,1122,3562.44086
MH,Buldhana,Jan,23911,1156,3552.031847
MH,Beed,Jan,5475,708,3599.133333
MH,Amarawati,Jan,18212,1098,3462.10989
MH,Akola,Jan,12608,1093,3523.483333
MH,Yavatmal,Feb,6589,1072,3578.277778
MH,Wardha,Feb,9891,826,3453.625
MH,Vashim,Feb,18180,1163,3590.125
MH,Nashik,Feb,705,961,3505.595041
MH,Latur,Feb,30769,869,3572.941176
MH,Hingoli,Feb,2493,1122,3488.98
MH,Buldhana,Feb,12799,1156,3562.6
MH,Beed,Feb,2608,708,3475.550562
MH,Amarawati,Feb,12660,1098,3519.2
MH,Akola,Feb,5000,1093,3605.459459
MH,Yavatmal,Mar,1617,1072,3419.063492
MH,Wardha,Mar,7137,826,3491.827586
MH,Vashim,Mar,13068,1163,3449.347368
MH,Nashik,Mar,399,961,3544.11236
MH,Latur,Mar,23938,869,3535.333333
MH,Hingoli,Mar,1466,1122,3604.13253
MH,Buldhana,Mar,12465,1156,3529.25
MH,Beed,Mar,2114,708,3464.086957
MH,Amarawati,Mar,6874,1098,3523.753846
MH,Akola,Mar,4105,1093,3492.86
MH,Yavatmal,Apr,3014,1072,3525.25
MH,Wardha,Apr,6897,826,3620.333333
MH,Vashim,Apr,12566,1163,3447.295455
MH,Nashik,Apr,760,961,3600.016393
MH,Latur,Apr,30468,869,3469.136842
MH,Hingoli,Apr,2022,1122,3562.283019
MH,Buldhana,Apr,10244,1156,3559.76
MH,Beed,Apr,2736,708,3575.09589
MH,Amarawati,Apr,7354,1098,3487.876712
MH,Akola,Apr,3594,1093,3535.316667
MH,Yavatmal,May,2474,1072,3551.222222
MH,Wardha,May,5740,826,3514.917808
MH,Vashim,May,12159,1163,3578.765432
MH,Nashik,May,794,961,3578.469388
MH,Latur,May,20709,869,3678
MH,Hingoli,May,1660,1122,3575.278689
MH,Buldhana,May,13133,1156,3517.211382
MH,Beed,May,2531,708,3594.806452
MH,Amarawati,May,5716,1098,3479.381818
MH,Akola,May,3381,1093,3569.571429
MH,Yavatmal,Jun,938,1072,3524.597701
MH,Wardha,Jun,4442,826,3467.485915
MH,Vashim,Jun,12256,1163,3519.439394
MH,Nashik,Jun,1058,961,3611.862745
MH,Latur,Jun,23162,869,3507.793103
MH,Hingoli,Jun,1511,1122,3552.086538
MH,Buldhana,Jun,11896,1156,3456.448276
MH,Beed,Jun,2168,708,3431.343284
MH,Amarawati,Jun,5963,1098,3503.046154
MH,Akola,Jun,4357,1093,3503.2
MH,Yavatmal,Jul,532,1072,3498.169811
MH,Wardha,Jul,2804,826,3436.459016
MH,Vashim,Jul,7872,1163,3399.441176
MH,Nashik,Jul,660,961,3516.868421
MH,Latur,Jul,8921,869,3458.358974
MH,Hingoli,Jul,894,1122,3472.857143
MH,Buldhana,Jul,11046,1156,3594.848485
MH,Beed,Jul,790,708,3515.619048
MH,Amarawati,Jul,2938,1098,3513.592233
MH,Akola,Jul,3113,1093,3513.672414
MH,Yavatmal,Aug,2064,1072,3479.193548
MH,Wardha,Aug,3327,826,3446.074074
MH,Vashim,Aug,7115,1163,3511.416667
MH,Nashik,Aug,497,961,3580.777778
MH,Latur,Aug,11541,869,3514.954545
MH,Hingoli,Aug,505,1122,3534.485714
MH,Buldhana,Aug,7590,1156,3439.878788
MH,Beed,Aug,602,708,3444.761905
MH,Amarawati,Aug,4565,1098,3396.483871
MH,Akola,Aug,2528,1093,3547.064516
MH,Yavatmal,Sep,1741,1072,3475.52381
MH,Wardha,Sep,1702,826,3396.75
MH,Vashim,Sep,8673,1163,3586.545455
MH,Nashik,Sep,177,961,3513.25
MH,Latur,Sep,19540,869,3603.6
MH,Hingoli,Sep,635,1122,3520.0625
MH,Buldhana,Sep,4790,1156,3540.678571
MH,Beed,Sep,935,708,3442.708333
MH,Amarawati,Sep,4450,1098,3457.723404
MH,Akola,Sep,2378,1093,3497.772727
MH,Yavatmal,Oct,6969,1072,3479.166667
MH,Wardha,Oct,9829,826,3468.55
MH,Vashim,Oct,23242,1163,3463.964286
MH,Nashik,Oct,1171,961,3545.681818
MH,Latur,Oct,21897,869,3542
MH,Hingoli,Oct,6211,1122,3583.037037
MH,Buldhana,Oct,16960,1156,3430.857143
MH,Beed,Oct,3554,708,3511.85
MH,Amarawati,Oct,18642,1098,3383.117647
MH,Akola,Oct,8810,1093,3448.928571
MH,Yavatmal,Nov,15813,1072,3464.363636
MH,Wardha,Nov,39617,826,3424.655172
MH,Vashim,Nov,59595,1163,3534.137931
MH,Nashik,Nov,4112,961,3483.772727
MH,Latur,Nov,93688,869,3586.8125
MH,Hingoli,Nov,16026,1122,3528.090909
MH,Buldhana,Nov,53922,1156,3467.08
MH,Beed,Nov,7946,708,3522.607143
MH,Amarawati,Nov,42861,1098,3386.961538
MH,Akola,Nov,22155,1093,3459.529412
MP,Vidisha,Jan,53370,615,3475.769231
MP,Ujjain,Jan,213750,802,3280.304615
MP,Shivpuri,Jan,13180,812,3513.54717
MP,Shajapur,Jan,43839,762,3550.031088
MP,Sehore,Jan,80840,748,3580.150442
MP,Sagar,Jan,65066,792,3448.550336
MP,Ratlam,Jan,127135.8,722,3607.105769
MP,Rajgarh,Jan,82769,766,3553.826667
MP,Dhar,Jan,149761,1060,3565.793893
MP,Dewas,Jan,282214,798,3506.731481
MP,Vidisha,Feb,11991,615,3532.883598
MP,Ujjain,Feb,66818,802,3546.29703
MP,Shivpuri,Feb,3265,812,3536.704225
MP,Shajapur,Feb,15219.7,762,3590.928571
MP,Sehore,Feb,27776,748,3430.963303
MP,Sagar,Feb,29955,792,3488.366667
MP,Ratlam,Feb,41736,722,3534.838384
MP,Rajgarh,Feb,15304,766,3432.686486
MP,Dhar,Feb,58257,1060,3434.84
MP,Dewas,Feb,95811,798,3562.613861
MP,Vidisha,Mar,11810,615,3458.737864
MP,Ujjain,Mar,35176,802,3389.285714
MP,Shivpuri,Mar,1328,812,3227.083784
MP,Shajapur,Mar,9399.7,762,3486.066667
MP,Sehore,Mar,16115,748,3475.152174
MP,Sagar,Mar,22084,792,3542.280488
MP,Ratlam,Mar,27806,722,3329.820755
MP,Rajgarh,Mar,6683,766,3566.957547
MP,Dhar,Mar,29632,1060,3475.155738
MP,Dewas,Mar,30601,798,3475.816514
MP,Vidisha,Apr,2550,615,3516.8
MP,Ujjain,Apr,70271,802,3523.488372
MP,Shivpuri,Apr,2358,812,3512.872093
MP,Shajapur,Apr,12797,762,3529.809524
MP,Sehore,Apr,31398,748,3599.787879
MP,Sagar,Apr,16233,792,3425.295918
MP,Ratlam,Apr,47473,722,3512.525974
MP,Rajgarh,Apr,14645,766,3530.485294
MP,Dhar,Apr,46629,1060,3270.9
MP,Dewas,Apr,103393,798,3382
MP,Vidisha,May,2357,615,3552.836207
MP,Ujjain,May,73238,802,3322.82803
MP,Shivpuri,May,2363,812,3573.09375
MP,Shajapur,May,11816,762,3550.2625
MP,Sehore,May,17102,748,3634.844444
MP,Sagar,May,9556,792,3462.809524
MP,Ratlam,May,49903.9,722,3631.442478
MP,Rajgarh,May,7412,766,3571.747967
MP,Dhar,May,49042,1060,3551.548387
MP,Dewas,May,63197,798,3431.782051
MP,Vidisha,Jun,22883,615,3545.027397
MP,Ujjain,Jun,1052012,802,3597.609091
MP,Shivpuri,Jun,2762,812,3416.032967
MP,Shajapur,Jun,12046,762,3527.282609
MP,Sehore,Jun,13084,748,3437.073684
MP,Sagar,Jun,13981,792,3572.311688
MP,Ratlam,Jun,51351.8,722,3330.872464
MP,Rajgarh,Jun,9492,766,3525.675676
MP,Dhar,Jun,50429,1060,3523.975728
MP,Dewas,Jun,71371,798,3520.1
MP,Vidisha,Jul,27934,615,3357.860215
MP,Ujjain,Jul,77648,802,3067.351701
MP,Shivpuri,Jul,1585,812,3453.192
MP,Shajapur,Jul,17116,762,3438.471429
MP,Sehore,Jul,50249,748,3503.415929
MP,Sagar,Jul,35126,792,3438.771654
MP,Ratlam,Jul,50484.8,722,3460.525424
MP,Rajgarh,Jul,13463,766,3433.087179
MP,Dhar,Jul,66946,1060,3441.946429
MP,Dewas,Jul,122331,798,3376.525424
MP,Vidisha,Aug,10496,615,3414.3125
MP,Ujjain,Aug,31597,802,3624.387097
MP,Shivpuri,Aug,216,812,3423.162162
MP,Shajapur,Aug,9712.2,762,3526.545455
MP,Sehore,Aug,45128,748,3476.622951
MP,Sagar,Aug,31368,792,3478.925926
MP,Ratlam,Aug,20081.7,722,3265.956098
MP,Rajgarh,Aug,11334,766,3465.833333
MP,Dhar,Aug,46071,1060,3404.567568
MP,Dewas,Aug,64404,798,3499.086957
MP,Vidisha,Sep,8041,615,3458.346154
MP,Ujjain,Sep,32852,802,3480.827586
MP,Shivpuri,Sep,906,812,3498.071429
MP,Shajapur,Sep,3783.2,762,3413.914286
MP,Sehore,Sep,28380,748,3511.173913
MP,Sagar,Sep,22142,792,3465.44898
MP,Ratlam,Sep,26478.1,722,3465.5
MP,Rajgarh,Sep,26764,766,3093.682143
MP,Dhar,Sep,54008,1060,3567.785714
MP,Dewas,Sep,64970,798,3407
MP,Vidisha,Oct,63477,615,3381.458333
MP,Ujjain,Oct,173554,802,3420.571429
MP,Shivpuri,Oct,30228,812,3232.683333
MP,Shajapur,Oct,26833.6,762,3420.631579
MP,Sehore,Oct,69332,748,3491.846154
MP,Sagar,Oct,86351,792,3510.16
MP,Ratlam,Oct,52304.4,722,3499.740741
MP,Rajgarh,Oct,29574,766,3456.277778
MP,Dhar,Oct,93928,1060,3346.178571
MP,Dewas,Oct,161460,798,3427.269231
MP,Vidisha,Nov,62290,615,3476.973684
MP,Ujjain,Nov,151218,802,3299.372222
MP,Shivpuri,Nov,34220,812,3443.866667
MP,Shajapur,Nov,42059,762,3497.45283
MP,Sehore,Nov,54986,748,3501.733333
MP,Sagar,Nov,100657,792,3311.702703
MP,Ratlam,Nov,46354.6,722,3592.931034
MP,Rajgarh,Nov,22329,766,3494.102564
MP,Dhar,Nov,93835,1060,3547.30303
MP,Dewas,Nov,111668,798,3387.2
RJ,Tonk,Jan,1.4,754,3050
RJ,Swai Madhopur,Jan,35.2,740,3571.5
RJ,Kota,Jan,16404.8,725,3495.741935
RJ,Jhalawar,Jan,17400.3,580,3604.598131
RJ,Chittorgarh,Jan,6986,715,3592.019608
RJ,Bundi,Jan,641,509,3550.967391
RJ,Bhilwara,Jan,9580.6,755,3550
RJ,Baran,Jan,2153,705,3596.769231
RJ,Udaipur,Jan,3813,765,3500
RJ,Swai Madhopur,Feb,9.7,740,3541.25
RJ,Bundi,Feb,389.8,509,3562.238636
RJ,Chittorgarh,Feb,4666,715,3560.442308
RJ,Jhalawar,Feb,11445.8,580,3550.591837
RJ,Baran,Feb,6407.1,705,3543.467532
RJ,Tonk,Feb,0.5,754,3100
RJ,Udaipur,Feb,4563,765,3450
RJ,Kota,Feb,14211.9,725,3508.305085
RJ,Baran,Mar,2777.4,705,3535.917808
RJ,Udaipur,Mar,3.2,765,3360
RJ,Swai Madhopur,Mar,5.4,740,3278.666667
RJ,Kota,Mar,9737.3,725,3503.35
RJ,Jhalawar,Mar,5478.1,580,3534.638298
RJ,Chittorgarh,Mar,1810,715,3465.477273
RJ,Bundi,Mar,344.2,509,3482.722222
RJ,Baran,Apr,1280.1,705,3611.75
RJ,Udaipur,Apr,0.6,765,3325
RJ,Bhilwara,Apr,26.4,755,3588.5
RJ,Tonk,Apr,14,754,3000
RJ,Swai Madhopur,Apr,0.8,740,3275
RJ,Kota,Apr,4168.4,725,3596.959184
RJ,Jhalawar,Apr,4304,580,3656.770115
RJ,Chittorgarh,Apr,1922.1,715,3660.076923
RJ,Bundi,Apr,116.3,509,3539.423077
RJ,Baran,May,992.4,705,3647.097561
RJ,Bundi,May,68.7,509,3610.772727
RJ,Chittorgarh,May,3864.4,715,3534.673469
RJ,Jhalawar,May,5109.6,580,3676.151515
RJ,Kota,May,5854,725,3642.227273
RJ,Swai Madhopur,May,548,740,3455
RJ,Udaipur,May,10.1,765,3425
RJ,Bundi,Jun,144.3,509,3522.471429
RJ,Chittorgarh,Jun,3487.3,715,3543.475
RJ,Jhalawar,Jun,6132.2,580,3619.938053
RJ,Tonk,Jun,3.6,754,3050
RJ,Swai Madhopur,Jun,0.6,740,3555
RJ,Bhilwara,Jun,20,755,3750
RJ,Udaipur,Jun,17.1,765,3616.666667
RJ,Kota,Jun,7830.9,725,3605.895522
RJ,Baran,Jun,2657.8,705,3575.407407
RJ,Jhalawar,Jul,6739,580,3497.903226
RJ,Swai Madhopur,Jul,2.1,740,3318
RJ,Kota,Jul,10282.9,725,3495.888889
RJ,Chittorgarh,Jul,5036.2,715,3425.413043
RJ,Bundi,Jul,168.6,509,3453.842857
RJ,Bhilwara,Jul,52.5,755,3587.5
RJ,Baran,Jul,3695.2,705,3452.73494
RJ,Udaipur,Jul,20.2,765,3450
RJ,Baran,Aug,2007.1,705,3525.541667
RJ,Bundi,Aug,51,509,3483.15
RJ,Chittorgarh,Aug,2025.6,715,3505.8125
RJ,Jhalawar,Aug,4793,580,3583.891892
RJ,Kota,Aug,8365,725,3553.1
RJ,Swai Madhopur,Aug,2,740,3291
RJ,Udaipur,Aug,7.2,765,3500
RJ,Bhilwara,Aug,20,755,3750
RJ,Udaipur,Sep,52,765,3550
RJ,Kota,Sep,4258.9,725,3515.6
RJ,Jhalawar,Sep,3269.6,580,3564.137931
RJ,Chittorgarh,Sep,750.8,715,3483.2
RJ,Bundi,Sep,27.1,509,3509.346154
RJ,Baran,Sep,1589.2,705,3471.681818
RJ,Swai Madhopur,Sep,1254,740,3505.5
RJ,Udaipur,Oct,19.3,765,3550
RJ,Swai Madhopur,Oct,59.6,740,3315
RJ,Kota,Oct,37684.9,725,3544.8
RJ,Jhalawar,Oct,25768.4,580,3564.666667
RJ,Chittorgarh,Oct,3754.7,715,3491.545455
RJ,Bundi,Oct,2566.3,509,3541.166667
RJ,Baran,Oct,31403.1,705,3498.8125
RJ,Swai Madhopur,Nov,322.9,740,3591.666667
RJ,Kota,Nov,45273.1,725,3530.6
RJ,Jhalawar,Nov,53503.5,580,3572.151515
RJ,Chittorgarh,Nov,7965.2,715,3431.571429
RJ,Bundi,Nov,3010.6,509,3548.6
RJ,Bhilwara,Nov,29.8,755,1875
RJ,Baran,Nov,28284.1,705,3665.565217
