Year,District,Sowing Area,Expected Yield,Estimated Production,Altitude/M,,,,,,,,,,,,,,,,,,,,,,,,Estimated Production√ø
2014,Sheopur Kalan,0.296,720,0.213,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Bhind,0.003,1000,0.003,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Rewa,0.547,620,0.339,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Sidhi,0.022,636,0.014,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Satna,0.58,710,0.412,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Shahdol,0.146,658,0.096,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Anooppur,0.048,646,0.031,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Umaria,0.042,643,0.027,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Dindori,0.105,695,0.073,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Ujjain,4.325,686,2.967,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Mandsaur,2.75,710,1.953,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Neemuch,1.401,706,0.989,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Ratlam,2.188,718,1.571,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Dewas,3.289,492,1.618,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Shajapur,2.176,611,1.329,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Agar,1.178,611,0.72,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Bhopal,1.096,613,0.672,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Sehore,2.899,663,1.922,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Raisen,1.022,523,0.535,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Vidisha,2.855,710,2.027,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Rajgarh,3.205,764,2.449,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Betul,2.092,234,0.489,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Hoshangabad,1.066,307,0.327,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Harda,1.283,264,0.339,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Indore,2.058,519,1.068,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Dhar,2.621,1002,2.626,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Jhabua,0.465,497,0.231,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Alirajpur,0.234,697,0.163,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Khargone,0.816,648,0.529,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Badwani,0.338,500,0.169,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Khandwa,1.754,710,1.245,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Burahanpur,0.186,645,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Jabalpur,0.147,463,0.068,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Katni,0.016,438,0.007,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Chhindwara,1.049,371,0.389,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Mandla,0.03,233,0.007,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Seoni,0.515,377,0.194,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Narsinghpur,0.798,475,0.379,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Dindori,0.104,663,0.069,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Sagar,3.185,530,1.688,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Damoh,0.852,593,0.505,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Panna,0.285,688,0.196,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Tikamgarh,0.535,499,0.267,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Chattarpur,0.7,681,0.477,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Gwalior,0.036,500,0.018,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Shivpuri,1.252,713,0.893,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Guna,2.191,703,1.54,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Ashoknagar,1.227,558,0.685,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Datia,0.086,453,0.039,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Morena,0.027,407,0.011,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Sheopur Kalan,0.41,593,0.243,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Bhind,0.004,500,0.002,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Rewa,0.572,290,0.166,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Sidhi,0.03,367,0.011,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Singhroli,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Shahdol,0.149,289,0.043,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Anooppur,0.056,375,0.021,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Umaria,0.049,429,0.021,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Dindori,0.104,663,0.069,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Ujjain,4.55,1195,5.437,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Mandsaur,2.828,1209,3.108,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Neemuch,1.44,1219,1.568,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Ratlam,2.3,1242,2.528,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Dewas,3.374,1254,4.032,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Shajapur,2.526,1136,2.945,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Agar,1.286,1129,1.487,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Bhopal,0.916,872,0.839,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Sehore,2.96,916,3.567,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Raisen,0.58,837,0.492,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Vidisha,2.272,876,1.777,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Rajgarh,3.12,997,3.607,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Betul,2.2,918,2.207,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Hoshangabad,0.855,894,0.726,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Harda,1.1,987,0.95,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Indore,2.226,1205,2.638,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Dhar,2.875,1302,3.574,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Jhabua,0.632,915,0.592,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Alirajpur,0.234,991,0.194,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Khargone,0.7,978,0.512,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Badwani,0.3,964,0.229,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Khandwa,1.557,1055,1.353,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Burahanpur,0.16,1052,0.145,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Jabalpur,0.147,1000,0.111,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Katni,0.016,1000,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Chhindwara,0.957,984,0.804,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Mandla,0.03,909,0.019,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Seoni,0.33,933,0.248,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Narsinghpur,0.64,965,0.543,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Dindori,0.104,884,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Sagar,2.8,871,2.164,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Damoh,0.9,905,0.661,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Panna,0.285,880,0.217,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Tikamgarh,0.4,841,0.302,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Chattarpur,0.47,926,0.35,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gwalior,0.007,833,0.005,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Shivpuri,0.75,897,0.686,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Guna,2,1050,1.85,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Ashoknagar,1.3,1115,1.138,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Datia,0.002,-,0.002,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Morena,0.017,-,0.014,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Sheopur Kalan,0.21,956,0.184,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Rewa,0.538,914,0.428,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Sidhi,0.03,-,0.023,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Satna,0.81,914,0.499,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Singhroli,0.02,-,0.016,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Shahdol,0.149,1000,0.121,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Anooppur,0.056,1000,0.046,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Umaria,0.051,-,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Dindori,0.104,884,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Ujjain,4.471,945,4.225,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mandsaur,2.7,1005,2.714,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Neemuch,1.356,985,1.336,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Ratlam,2.2,889,1.956,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Dewas,3.275,975,3.193,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Shajapur,2.48,905,2.244,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Agar,1.2,910,1.092,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Bhopal,0.952,650,0.619,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Sehore,2.699,915,2.47,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Raisen,0.868,491,0.426,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Vidisha,2.775,618,1.715,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Rajgarh,3.094,905,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Betul,2.25,541,1.217,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Hoshangabad,0.91,775,0.705,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Harda,1.2,825,0.99,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Indore,2.17,815,1.768,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Dhar,2.794,1025,2.864,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Jhabua,0.637,976,0.622,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Alirajpur,0.165,945,0.156,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Khargone,0.593,617,0.366,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Badwani,0.324,645,0.209,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Khandwa,1.545,803,1.241,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Burahanpur,0.15,907,0.136,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Jabalpur,0.016,625,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Katni,0.015,667,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Chhindwara,0.229,773,0.177,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mandla,0.027,704,0.019,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Seoni,0.398,731,0.291,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Narsinghpur,0.325,726,0.236,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Dindori,0.095,726,0.069,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Sagar,1.96,600,1.176,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Damoh,0.483,501,0.242,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Panna,0.085,553,0.047,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Tikamgarh,0.137,679,0.093,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Chattarpur,0.308,675,0.208,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Gwalior,0.17,776,0.132,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Shivpuri,0.79,751,0.593,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Guna,1.53,790,1.209,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Ashoknagar,1.4,980,1.372,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Datia,0.068,721,0.049,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Morena,0.006,667,0.004,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Sheopur Kalan,0.29,914,0.265,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Bhind,0.005,800,0.004,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Rewa,0.238,773,0.184,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Sidhi,0.018,722,0.013,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Satna,0.468,765,0.358,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Singhroli,0.002,500,0.001,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Shahdol,0.135,733,0.099,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Anooppur,0.057,807,0.046,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Umaria,0.037,811,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Dindori,0.095,726,0.069,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Ujjain,4.724,5.645,4.765,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Mandsaur,3.293,3.981,2.791,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Neemuch,1.773,2.162,1.29,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Ratlam,3.121,3.876,2.351,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Dewas,3.814,4.783,3.532,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Shajapur,2.55,2.896,2.547,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Agar,1.698,1.917,1.38,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Bhopal,1.26,1.099,1.106,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Sehore,2.767,2.535,2.88,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Raisen,0.753,0.63,0.775,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Vidisha,3.255,2.851,3.586,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Rajgarh,3.026,3.017,3.069,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Betul,2.15,1.974,1.774,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Hoshangabad,0.682,0.61,0.642,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Harda,1.45,1.431,1.524,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Indore,2.115,2.549,2.16,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Dhar,2.736,3.562,2.584,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Jhabua,0.645,0.59,0.702,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Alirajpur,0.224,0.222,0.271,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Khargone,0.766,0.749,0.602,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Badwani,0.337,0.325,0.272,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Khandwa,1.631,1.721,1.152,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Burahanpur,0.191,0.201,0.219,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Balaghat,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Jabalpur,0.001,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Katni,0.015,0.015,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Chhindwara,0.186,0.183,0.185,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Mandla,0.022,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Seoni,0.03,0.028,0.003,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Narsinghpur,0.201,0.194,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Dindori,0.095,0.084,0.085,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Sagar,1.924,1.676,2.366,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Damoh,0.592,0.536,0.711,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Panna,0.075,0.066,0.065,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Tikamgarh,0.182,0.153,0.175,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Chattarpur,0.43,0.398,0.42,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Gwalior,0.012,0.01,0.036,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Shivpuri,1.189,1.066,1.323,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Guna,1.953,2.05,2.345,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Ashoknagar,1.626,1.813,1.425,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Sheopur Kalan,0.183,0.175,0.175,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Rewa,0.175,0.16,0.165,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Satna,0.244,0.223,0.23,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Shahdol,0.002,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Anooppur,0.001,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Dindori,0.095,0.084,0.085,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Ujjain,4.765,802,3.822,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Mandsaur,2.791,505,1.409,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Neemuch,1.29,535,0.69,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Ratlam,2.351,722,1.697,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Dewas,3.532,798,2.819,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Shajapur,2.547,762,1.941,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Agar,1.38,753,1.039,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Bhopal,1.106,737,0.815,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Sehore,2.88,748,2.154,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Raisen,0.775,595,0.461,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Vidisha,3.586,615,2.205,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Rajgarh,3.069,766,2.351,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Betul,1.774,736,1.306,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Hoshangabad,0.642,717,0.46,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Harda,1.524,742,1.131,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Indore,2.16,908,1.961,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Dhar,2.584,1060,2.739,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Jhabua,0.702,903,0.634,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Alirajpur,0.271,937,0.254,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Khargone,0.602,865,0.521,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Badwani,0.272,857,0.233,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Khandwa,1.152,907,1.045,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Burahanpur,0.219,918,0.201,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Jabalpur,0.001,1000,0.001,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Katni,0.01,800,0.008,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Chhindwara,0.185,768,0.142,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Mandla,0.02,850,0.017,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Seoni,0.003,1000,0.003,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Narsinghpur,0.2,785,0.157,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Dindori,0.085,729,0.062,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Sagar,2.366,792,1.874,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Damoh,0.711,665,0.473,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Panna,0.065,815,0.053,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Tikamgarh,0.175,834,0.146,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Chattarpur,0.42,814,0.342,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Gwalior,0.036,917,0.033,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Shivpuri,1.323,812,1.074,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Guna,2.345,869,2.038,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Ashoknagar,1.425,909,1.295,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Datia,0.035,829,0.029,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Sheopur Kalan,0.175,829,0.145,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Rewa,0.165,836,0.138,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Satna,0.23,813,0.187,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Shahdol,0.002,500,0.001,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Anooppur,0.001,1000,0.001,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Dindori,0.085,729,0.062,,,,,,,,,,,,,,,,,,,,,,,,,
